epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.799,2.11552,4.01639,2.02866,0.0025,0.75,0.01425,0.00446,1.45743,4.6858,1.82426,0.0002,0.0002,0.0962
2,356.968,2.00233,4.08153,1.94287,0.00262,0.78571,0.02409,0.0076,1.45794,4.52607,1.75474,0.000447752,0.000447752,0.0914478
3,710.628,1.94699,3.79718,1.88296,0.0025,0.75,0.02408,0.00852,1.46869,4.32888,1.64608,0.000693007,0.000693007,0.086693
4,962.419,1.72038,3.67257,1.7551,0.00274,0.82143,0.03737,0.01827,1.40984,4.20599,1.52709,0.000935764,0.000935764,0.0819358
5,1151.44,1.62638,3.61452,1.66352,0.00298,0.89286,0.06999,0.03709,1.32535,4.01963,1.41868,0.00117602,0.00117602,0.077176
6,1411.26,1.66025,3.4708,1.66037,0.00286,0.85714,0.11946,0.05402,1.30824,3.8922,1.32182,0.00141379,0.00141379,0.0724138
7,1603.77,1.47474,3.44767,1.49815,0.00298,0.89286,0.4652,0.24255,1.22739,3.77469,1.26016,0.00164905,0.00164905,0.0676491
8,1777.12,1.49531,3.10312,1.46881,0.00286,0.85714,0.56701,0.28792,1.27082,3.74685,1.28647,0.00188182,0.00188182,0.0628818
9,1881.65,1.36918,2.8441,1.38064,0.00298,0.89286,0.72697,0.29412,1.40499,3.63271,1.46457,0.00211209,0.00211209,0.0581121
10,1950.19,1.45214,2.28221,1.47406,1,0.50363,0.84138,0.31096,1.57981,3.24292,1.648,0.00233986,0.00233986,0.0533399
11,2079.3,1.40709,2.12808,1.36406,0.94054,0.56525,0.87925,0.32822,1.46343,3.19545,1.47818,0.00256514,0.00256514,0.0485651
12,2167.9,1.41537,1.8713,1.40831,1,0.57147,0.91909,0.31585,1.49621,3.24117,1.45461,0.00278791,0.00278791,0.0437879
13,2439.55,1.23738,1.88336,1.33453,0.94409,0.60323,0.83977,0.31949,1.61771,3.10357,1.46534,0.00300819,0.00300819,0.0390082
14,2661.68,1.41577,1.86204,1.33568,0.94762,0.64631,0.87361,0.44216,1.44255,2.96268,1.30682,0.00322597,0.00322597,0.034226
15,2861.35,1.29501,1.86991,1.31242,0.89555,0.61269,0.89022,0.4177,1.43961,3.00742,1.28242,0.00344126,0.00344126,0.0294413
16,3118.24,1.41795,1.88579,1.32268,0.90879,0.71176,0.82377,0.36376,1.60508,2.76475,1.38144,0.00365405,0.00365405,0.024654
17,3290.94,1.31457,1.62453,1.30271,0.95562,0.76944,0.98267,0.47158,1.39379,2.64163,1.31196,0.00386434,0.00386434,0.0198643
18,3471.67,1.47631,1.60884,1.40907,0.92632,0.89824,0.90949,0.39885,1.55837,2.48065,1.42057,0.00407213,0.00407213,0.0150721
